LocID,Period,Year,Trajectory,Mig
246,2047,2047,42,0.00098
246,2048,2048,42,0.00257
246,2049,2049,42,0.00216
246,2050,2050,42,0.00067
246,2051,2051,42,0.00048
246,2052,2052,42,4e-05
246,2053,2053,42,-0.00176
246,2054,2054,42,0.00157
246,2055,2055,42,0.00049
246,2056,2056,42,0.00155
246,2057,2057,42,0.00277
246,2058,2058,42,0.00048
246,2059,2059,42,0.00063
246,2060,2060,42,0.00259
246,2061,2061,42,-3e-05
246,2062,2062,42,0.00108
246,2063,2063,42,0.00165
246,2064,2064,42,0.00252
246,2065,2065,42,0.00471
246,2066,2066,42,0.00675
246,2067,2067,42,0.00636
246,2068,2068,42,0.00572
246,2069,2069,42,0.00369
246,2070,2070,42,0.00316
246,2071,2071,42,0.00193
246,2072,2072,42,0.00545
246,2073,2073,42,0.00289
246,2074,2074,42,9e-04
246,2075,2075,42,0.00153
246,2076,2076,42,0.00254
246,2077,2077,42,0.00261
246,2078,2078,42,0.00225
246,2079,2079,42,0.00112
246,2080,2080,42,-0.00051
246,2081,2081,42,0.00101
246,2082,2082,42,0.00278
246,2083,2083,42,0.00301
246,2084,2084,42,0.00129
246,2085,2085,42,0.0027
246,2086,2086,42,0.00177
246,2087,2087,42,0.00064
246,2088,2088,42,0.00174
246,2089,2089,42,0.00103
246,2090,2090,42,0.00034
246,2091,2091,42,-0.00159
246,2092,2092,42,-6e-04
246,2093,2093,42,-0.00017
246,2094,2094,42,0.00391
246,2095,2095,42,0.00309
246,2096,2096,42,-0.00055
246,2097,2097,42,0.00043
246,2098,2098,42,0.00178
246,2099,2099,42,0.00335
246,2100,2100,42,0.00335
246,2023,2023,62,0.00685
246,2024,2024,62,0.00347
246,2025,2025,62,0.00404
246,2026,2026,62,0.0021
246,2027,2027,62,-0.00175
246,2028,2028,62,0.00245
246,2029,2029,62,0.00248
246,2030,2030,62,0.00486
246,2031,2031,62,0.00889
246,2032,2032,62,0.00949
246,2033,2033,62,0.00559
246,2034,2034,62,0.00465
246,2035,2035,62,0.00112
246,2036,2036,62,0.00074
246,2037,2037,62,0.00137
246,2038,2038,62,-0.00182
246,2039,2039,62,-0.00136
246,2040,2040,62,0.00301
246,2041,2041,62,0.00208
246,2042,2042,62,0.00088
246,2043,2043,62,0.00173
246,2044,2044,62,-0.00156
246,2045,2045,62,0.00165
246,2046,2046,62,-0.00032
246,2047,2047,62,0.00213
246,2048,2048,62,-0.00325
246,2049,2049,62,-0.00295
246,2050,2050,62,0.00622
246,2051,2051,62,0.00517
246,2052,2052,62,0.00452
246,2053,2053,62,0.00629
246,2054,2054,62,0.00421
246,2055,2055,62,0.00507
246,2056,2056,62,0.00464
246,2057,2057,62,0.00404
246,2058,2058,62,0.00353
246,2059,2059,62,0.00263
246,2060,2060,62,0.00333
246,2061,2061,62,0.0016
246,2062,2062,62,0.00374
246,2063,2063,62,-1e-05
246,2064,2064,62,0.00233
246,2065,2065,62,0.00477
246,2066,2066,62,0.00419
246,2067,2067,62,0.00179
246,2068,2068,62,0.00425
246,2069,2069,62,0.00619
246,2070,2070,62,0.00303
246,2071,2071,62,0.00302
246,2072,2072,62,0.004
246,2073,2073,62,0.00054
246,2074,2074,62,0.00232
246,2075,2075,62,0.00031
246,2076,2076,62,3e-05
246,2077,2077,62,0.00019
246,2078,2078,62,-5e-05
246,2079,2079,62,-5e-05
246,2080,2080,62,-0.00105
246,2081,2081,62,0.00053
246,2082,2082,62,-0.00198
246,2083,2083,62,-0.00065
246,2084,2084,62,0.00054
246,2085,2085,62,1e-04
246,2086,2086,62,0.00257
246,2087,2087,62,0.00297
246,2088,2088,62,0.00426
246,2089,2089,62,0.00216
246,2090,2090,62,0.00108
246,2091,2091,62,-1e-05
246,2092,2092,62,0.00131
246,2093,2093,62,0.00187
246,2094,2094,62,0.00193
246,2095,2095,62,-0.00306
246,2096,2096,62,-0.00363
246,2097,2097,62,-0.00353
246,2098,2098,62,-0.00124
246,2099,2099,62,-0.00344
246,2100,2100,62,-0.00171
246,2023,2023,83,0.00685
246,2024,2024,83,0.00242
