LocID,Period,Year,Trajectory,Mig
566,2023,2023,1,-0.00025
566,2024,2024,1,0.00031
566,2025,2025,1,0.00016
566,2026,2026,1,0.00016
566,2027,2027,1,0.00114
566,2028,2028,1,0.00015
566,2029,2029,1,0.00085
566,2030,2030,1,0.00206
566,2031,2031,1,-0.00011
566,2032,2032,1,-0.00026
566,2033,2033,1,-0.00034
566,2034,2034,1,0.00146
566,2035,2035,1,0.00111
566,2036,2036,1,-0.00083
566,2037,2037,1,-0.00071
566,2038,2038,1,-0.00119
566,2039,2039,1,0.00056
566,2040,2040,1,-0.00112
566,2041,2041,1,-0.00089
566,2042,2042,1,-0.00114
566,2043,2043,1,-0.00058
566,2044,2044,1,-0.00025
566,2045,2045,1,0.00077
566,2046,2046,1,-0.00023
566,2047,2047,1,-0.00109
566,2048,2048,1,-0.00072
566,2049,2049,1,0.00159
566,2050,2050,1,-0.00075
566,2051,2051,1,-0.0012
566,2052,2052,1,-0.00139
566,2053,2053,1,0.0015
566,2054,2054,1,-9e-05
566,2055,2055,1,0.00045
566,2056,2056,1,-0.00066
566,2057,2057,1,-0.00043
566,2058,2058,1,-0.00077
566,2059,2059,1,0.00086
566,2060,2060,1,0.00123
566,2061,2061,1,9e-05
566,2062,2062,1,0.00085
566,2063,2063,1,0.00206
566,2064,2064,1,5e-04
566,2065,2065,1,-0.00219
566,2066,2066,1,-0.00092
566,2067,2067,1,0.00037
566,2068,2068,1,-0.00025
566,2069,2069,1,-0.00103
566,2070,2070,1,0.00059
566,2071,2071,1,0.00079
566,2072,2072,1,0.00164
566,2073,2073,1,-0.00024
566,2074,2074,1,0.00091
566,2075,2075,1,0.00016
566,2076,2076,1,0.00125
566,2077,2077,1,0.00144
566,2078,2078,1,-0.00083
566,2079,2079,1,-0.00039
566,2080,2080,1,-0.002
566,2081,2081,1,-8e-05
566,2082,2082,1,0.00175
566,2083,2083,1,0.00104
566,2084,2084,1,0.00091
566,2085,2085,1,-4e-05
566,2086,2086,1,-6e-05
566,2087,2087,1,0.00191
566,2088,2088,1,0.00074
566,2089,2089,1,-0.00037
566,2090,2090,1,-0.00153
566,2091,2091,1,-0.00043
566,2092,2092,1,-0.00085
566,2093,2093,1,0.00027
566,2094,2094,1,0.00031
566,2095,2095,1,-0.00062
566,2096,2096,1,0.00047
566,2097,2097,1,0.00231
566,2098,2098,1,-0.00011
566,2099,2099,1,-0.00225
566,2100,2100,1,0.00043
566,2023,2023,11,-0.00025
566,2024,2024,11,5e-05
566,2025,2025,11,0.00072
566,2026,2026,11,-0.00035
566,2027,2027,11,-0.00039
566,2028,2028,11,-0.00152
566,2029,2029,11,0.00017
566,2030,2030,11,9e-05
566,2031,2031,11,0.00189
566,2032,2032,11,0.00094
566,2033,2033,11,-0.00107
566,2034,2034,11,-0.00195
566,2035,2035,11,-0.00036
566,2036,2036,11,-0.00076
566,2037,2037,11,-0.00115
566,2038,2038,11,-0.00019
566,2039,2039,11,-0.00111
566,2040,2040,11,-0.00047
566,2041,2041,11,-0.00011
566,2042,2042,11,-0.00032
566,2043,2043,11,-0.00088
566,2044,2044,11,0.00104
566,2045,2045,11,-0.00038
566,2046,2046,11,-0.00057
566,2047,2047,11,-4e-04
566,2048,2048,11,-0.00241
566,2049,2049,11,-0.0021
566,2050,2050,11,-0.00011
566,2051,2051,11,-0.00104
566,2052,2052,11,0.00072
566,2053,2053,11,0.00018
566,2054,2054,11,-6e-04
